epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.10221,1.70644,4.42977,1.79699,0,0,0,0,1.75744,4.12862,1.67495,3.927e-05,3.927e-05,3.927e-05
2,12.0996,1.34495,4.04724,1.52436,0,0,0,0,1.48182,4.03193,1.4582,8.12971e-05,8.12971e-05,8.12971e-05
3,16.2963,1.26324,3.4172,1.46299,0.08052,0.16667,0.16583,0.11028,1.39137,3.67673,1.39057,0.000122476,0.000122476,0.000122476
4,20.614,1.21659,2.82802,1.44105,0.40148,0.38179,0.39427,0.27321,1.54653,2.96259,1.56656,0.000162807,0.000162807,0.000162807
5,24.8126,1.1774,2.38836,1.39599,0.25671,0.54428,0.4209,0.24597,1.5652,3.10519,1.54727,0.000202289,0.000202289,0.000202289
6,28.9503,1.12409,2.03496,1.36413,0.36841,0.47645,0.50142,0.2704,1.54564,2.75568,1.5465,0.000240923,0.000240923,0.000240923
7,33.0992,1.1496,1.94849,1.3919,0.83094,0.25109,0.42766,0.22754,1.66005,2.38955,1.6689,0.000278709,0.000278709,0.000278709
8,37.2523,1.15061,1.84847,1.38532,0.80473,0.33378,0.4687,0.26683,1.5707,2.06648,1.58406,0.000315647,0.000315647,0.000315647
9,41.3217,1.13574,1.75901,1.35813,0.76989,0.34237,0.47129,0.27795,1.46045,1.78032,1.50943,0.000328726,0.000328726,0.000328726
10,45.4614,1.11737,1.62982,1.33145,0.76541,0.34725,0.53363,0.29263,1.50604,1.70817,1.60494,0.000325191,0.000325191,0.000325191
11,49.5729,1.091,1.55582,1.34123,0.73547,0.4517,0.56141,0.32075,1.45751,1.53778,1.59616,0.000321657,0.000321657,0.000321657
12,53.706,1.10712,1.53719,1.32156,0.69962,0.49348,0.57507,0.32698,1.51204,1.54594,1.63366,0.000318123,0.000318123,0.000318123
13,57.8279,1.07779,1.4783,1.29417,0.74644,0.44961,0.60384,0.34692,1.45343,1.53383,1.57819,0.000314588,0.000314588,0.000314588
14,61.9009,1.04024,1.44065,1.30292,0.68064,0.48982,0.59553,0.3462,1.4434,1.35526,1.58901,0.000311054,0.000311054,0.000311054
15,66.0374,1.06222,1.44848,1.31671,0.72715,0.47584,0.60975,0.34457,1.47354,1.39855,1.59492,0.00030752,0.00030752,0.00030752
16,70.1105,1.04639,1.38319,1.28383,0.73376,0.51983,0.59396,0.32831,1.53438,1.44805,1.62299,0.000303986,0.000303986,0.000303986
17,74.214,1.04227,1.38371,1.28398,0.72325,0.53146,0.60076,0.33326,1.51897,1.3452,1.63508,0.000300451,0.000300451,0.000300451
18,78.2768,1.00725,1.31037,1.24807,0.72602,0.56051,0.63351,0.3524,1.46235,1.31755,1.58204,0.000296917,0.000296917,0.000296917
19,82.4412,0.98695,1.35125,1.24951,0.70114,0.53939,0.64557,0.36241,1.49231,1.33594,1.5948,0.000293383,0.000293383,0.000293383
20,86.6085,0.97449,1.26503,1.22319,0.7983,0.50273,0.66503,0.36792,1.47407,1.35928,1.55155,0.000289848,0.000289848,0.000289848
21,90.7562,0.99214,1.27023,1.21877,0.69057,0.59633,0.68702,0.39162,1.43505,1.22828,1.56133,0.000286314,0.000286314,0.000286314
22,94.9317,0.96131,1.19731,1.21514,0.66796,0.64857,0.70287,0.39702,1.41047,1.18744,1.52927,0.00028278,0.00028278,0.00028278
23,99.1033,0.93757,1.17475,1.21405,0.77029,0.58742,0.70344,0.37462,1.50289,1.18846,1.59725,0.000279245,0.000279245,0.000279245
